NASH	Control	NASH	NASH	NASH	Control	NASH	Control
RL518-mf	RL585-mf	RL601-mf	RL606-mf	RL641-mf	RL654-mf	RL663-mf	RL686-mf
0	0	0	0	0	0	0	0
7.47775	67.9408	83.0294	16.8788	49.7893	38.8799	35.5288	191.713
81.4158	48.4321	41.6547	33.2169	0	26.1588	29.534	110.88
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	11.1358
0	4.02208	0	0	5.23855	0	5.42551	0
19.6445	0	0	0	1.07104	0	0	0
0	10.2436	0	0	0	0	0	0
0	0	5.78104	0	0	0	0	2.95903
0	0	0	0	0	0	0	7.53802
21.4149	8.65391	18.9072	0	0	14.1418	15.5073	108.09
21.4149	8.65391	18.9072	0	0	14.1418	15.5073	108.09
0	12.2753	20.0872	8.10008	0	0	9.09962	22.2285
0	0	0	0	0	0	0	0
0.41082	21.4179	0	0	0	0	0	11.4599
0	2.07792	0	0	0	0	0	0
103.733	68.9062	65.1492	76.9137	87.3428	23.0049	41.1681	119.213
24.6154	26.8906	11.4029	0	24.0742	28.3564	20.3786	96.4309
65.6242	118.287	64.5852	26.9071	113.995	69.6081	42.9212	688.982
0	0	0	0	0	0	0	0
0	0	7.47209	0	0	0	0	4.02945
12.422	46.64	69.8159	30.4794	72.1298	33.9339	15.8556	247.064
0	3.28644	0	0	18.4701	0	5.10023	0
0	0	0	0	0	5.53531	0	5.44693
11.6825	147.172	12.7478	11.8634	225.99	23.8	7.25356	27.6443
19.6194	68.0558	36.4559	28.5811	91.3776	54.9312	24.734	287.526
0	0	0	0	0	0	0	0
21.737	14.2024	16.318	4.31034	4.37988	8.5653	16.8624	38.9187
136.16	229.924	101.041	114.428	167.746	79.8835	26.3633	456.813
0	4.26818	0	0	0	5.65539	0	0
0	8.91748	0	0	0	11.1398	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	6.98152	9.77567	16.2086
15.7992	14.4762	37.9008	11.3326	36.9144	7.28949	11.5116	182.687
0	0	0	0	0	0	0	0
45.7119	97.5381	83.6291	36.364	96.9829	26.7845	33.8109	207.308
126.6	148.893	270.495	81.9377	158.638	66.4792	44.0101	970.071
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
81.8265	31.9893	115.94	25.3949	50.8639	22.424	26.6301	647.85
0	0	0	0	0	0	0	0
211.89	301.098	459.851	156.122	173.879	85.7391	52.2848	626.985
